time,x_est,y_est,z_est,vx_est,vy_est,vz_est,clock_bias,clock_drift
2024-05-13 00:30:00,-2468103695781.0815,7252205482181.384,8186597866554.01,-27982668.191557936,82223473.76852848,92817354.2869147,85639438405.13344,970968.6784287571
2024-05-13 01:00:00,-2518472498525.8857,7400207734964.735,8353669104270.456,-27982668.191557936,82223473.76852848,92817354.2869147,87387182026.3052,970968.6784287571
2024-05-13 01:30:00,-2568841301270.69,7548209987748.087,8520740341986.902,-27982668.191557936,82223473.76852848,92817354.2869147,89134925647.47697,970968.6784287571
2024-05-13 02:00:00,-2619210104015.494,7696212240531.438,8687811579703.349,-27982668.191557936,82223473.76852848,92817354.2869147,90882669268.64874,970968.6784287571
2024-05-13 02:30:00,-2669578906760.2983,7844214493314.79,8854882817419.795,-27982668.191557936,82223473.76852848,92817354.2869147,92630412889.82051,970968.6784287571
2024-05-13 03:00:00,-2719947709505.1025,7992216746098.142,9021954055136.242,-27982668.191557936,82223473.76852848,92817354.2869147,94378156510.99228,970968.6784287571
2024-05-13 03:30:00,-2770316512249.9067,8140218998881.493,9189025292852.69,-27982668.191557936,82223473.76852848,92817354.2869147,96125900132.16405,970968.6784287571
2024-05-13 04:00:00,-2820685314994.711,8288221251664.845,9356096530569.137,-27982668.191557936,82223473.76852848,92817354.2869147,97873643753.33582,970968.6784287571
2024-05-13 04:30:00,-2871054117739.515,8436223504448.196,9523167768285.584,-27982668.191557936,82223473.76852848,92817354.2869147,99621387374.50758,970968.6784287571
2024-05-13 05:00:00,-2921422920484.3193,8584225757231.548,9690239006002.031,-27982668.191557936,82223473.76852848,92817354.2869147,101369130995.67935,970968.6784287571
2024-05-13 05:30:00,-2971791723229.1235,8732228010014.899,9857310243718.479,-27982668.191557936,82223473.76852848,92817354.2869147,103116874616.85112,970968.6784287571
2024-05-13 06:00:00,-3022160525973.9277,8880230262798.25,10024381481434.926,-27982668.191557936,82223473.76852848,92817354.2869147,104864618238.02289,970968.6784287571
2024-05-13 06:30:00,-3072529328718.732,9028232515581.602,10191452719151.373,-27982668.191557936,82223473.76852848,92817354.2869147,106612361859.19466,970968.6784287571
2024-05-13 07:00:00,-3122898131463.536,9176234768364.953,10358523956867.82,-27982668.191557936,82223473.76852848,92817354.2869147,108360105480.36642,970968.6784287571
2024-05-13 07:30:00,-3173266934208.3403,9324237021148.305,10525595194584.268,-27982668.191557936,82223473.76852848,92817354.2869147,110107849101.5382,970968.6784287571
2024-05-13 08:00:00,-3223635736953.1445,9472239273931.656,10692666432300.715,-27982668.191557936,82223473.76852848,92817354.2869147,111855592722.70996,970968.6784287571
2024-05-13 08:30:00,-3274004539697.9487,9620241526715.008,10859737670017.162,-27982668.191557936,82223473.76852848,92817354.2869147,113603336343.88173,970968.6784287571
2024-05-13 09:00:00,-3324373342442.753,9768243779498.36,11026808907733.61,-27982668.191557936,82223473.76852848,92817354.2869147,115351079965.0535,970968.6784287571
2024-05-13 09:30:00,-3374742145187.557,9916246032281.71,11193880145450.057,-27982668.191557936,82223473.76852848,92817354.2869147,117098823586.22527,970968.6784287571
2024-05-13 10:00:00,-3425110947932.3613,10064248285065.062,11360951383166.504,-27982668.191557936,82223473.76852848,92817354.2869147,118846567207.39703,970968.6784287571
